lat,lng,rad
35.526686,-82.37542,13
34.865445,-82.02018,20
34.935636,-82.32238,10
35.109114,-81.19429,30
33.987497,-85.05508,25
34.281423,-85.23825,15
29.499591,-81.22328,20
30.296911,-81.52228,15
30.080602,-83.58119,50
#N/A,#N/A,#N/A
26.110631,-80.27469,10
26.391346,-80.21824,20
29.166186,-82.17027,15
#N/A,#N/A,#N/A
34.595332,-86.98786,20
34.72879,-86.57316,30
31.876168,-85.17362,30
30.699539,-88.10474,40
32.495484,-87.84521,30
36.35465,-86.71879,15
36.427758,-86.81023,15
36.065032,-86.94674,20
35.219532,-84.86489,15
35.930801,-84.53135,50
35.088885,-89.80677,12
32.484979,-90.11552,30
32.420814,-90.13134,15
32.439945,-88.70918,25
38.941953,-84.54902,15
37.825094,-87.56055,25
40.085313,-82.97326,20
40.465183,-80.62364,20
41.369846,-82.10874,20
41.431875,-82.20658,20
39.404856,-84.52271,20
39.168818,-84.24995,12
39.840308,-84.12227,20
40.050109,-85.99815,5
42.307288,-83.70443,20
42.232807,-83.72671,8
42.582902,-84.44738,20
42.64275,-85.29296,20
42.277837,-84.94869,50
42.252268,-84.38842,30
42.794914,-85.55091,35
42.904275,-85.82314,20
42.927801,-85.54582,30
42.868228,-85.66391,20
44.743834,-85.08986,15
44.735559,-85.54511,20
46.460895,-84.32485,50
41.601516,-93.86151,25
41.755771,-91.61238,10
41.982201,-91.61409,20
41.017736,-91.95,35
43.769889,-88.4281,20
43.671988,-92.97908,20
43.514392,-96.80375,40
46.860864,-96.81602,30
48.19983,-101.28579,60
45.996957,-112.51279,30
42.077178,-87.72373,15
41.92583,-87.84013,30
41.605633,-87.75356,12
41.761463,-88.01334,15
41.882582,-87.6376,20
41.944454,-87.79654,10
42.032379,-87.81563,10
42.306666,-89.00839,30
40.133786,-87.62898,20
38.868136,-90.08023,10
39.819,-89.64379,15
39.449012,-91.07518,30
37.021086,-93.21541,15
37.700632,-97.4343,30
37.670092,-97.27953,15
37.765919,-97.31997,10
38.094945,-97.929,10
29.894261,-90.03072,50
30.211901,-92.05912,30
30.101305,-92.13152,15
29.975453,-91.84073,50
30.425791,-91.03815,20
32.569798,-93.55133,20
32.631009,-93.28751,40
32.457903,-93.7133,20
